*Data source: Baseball Reference (FanGraphs was unavailable).*

Showing 200 of 463 total rows.

| Name                         |   Age |   #days | Lev           | Tm                     |   G |   PA |   AB |   R |   H |   2B |   3B |   HR |   RBI |   BB |   IBB |   SO |   HBP |   SH |   SF |   GDP |   SB |   CS |    BA |   OBP |   SLG |   OPS |   mlbID |
| Max Kepler                   |    30 |     914 | Maj-AL        | Minnesota              | 135 |  515 |  461 |  73 | 119 |   24 |    2 |   24 |    66 |   46 |     0 |  116 |     4 |    0 |    4 |     9 |    1 |    1 | 0.258 | 0.328 | 0.475 | 0.803 |  596146 |
| Josh Jung                    |    25 |     893 | Maj-AL        | Texas                  | 139 |  585 |  543 |  88 | 147 |   29 |    2 |   26 |    78 |   33 |     0 |  170 |     5 |    0 |    4 |    11 |    1 |    3 | 0.271 | 0.316 | 0.475 | 0.791 |  673962 |
| Sean Murphy                  |    28 |     913 | Maj-NL        | Atlanta                | 110 |  445 |  377 |  65 |  95 |   21 |    0 |   21 |    68 |   49 |     0 |  100 |    18 |    0 |    1 |    18 |    0 |    0 | 0.252 | 0.364 | 0.475 | 0.839 |  669221 |
| Bo Bichette                  |    25 |     921 | Maj-AL        | Toronto                | 137 |  609 |  579 |  70 | 179 |   30 |    3 |   20 |    73 |   27 |     0 |  117 |     2 |    0 |    1 |    14 |    5 |    3 | 0.309 | 0.342 | 0.475 | 0.817 |  666182 |
| José Ramírez   |    30 |     924 | Maj-AL        | Cleveland              | 156 |  691 |  611 |  87 | 172 |   36 |    5 |   24 |    80 |   73 |    22 |   73 |     1 |    0 |    6 |     8 |   28 |    6 | 0.282 | 0.356 | 0.475 | 0.831 |  608070 |
| Danny Jansen                 |    28 |     954 | Maj-AL        | Toronto                |  86 |  301 |  268 |  38 |  61 |   15 |    0 |   17 |    53 |   23 |     1 |   62 |    10 |    0 |    0 |     3 |    0 |    0 | 0.228 | 0.312 | 0.474 | 0.786 |  643376 |
| Anthony Santander            |    28 |     915 | Maj-AL        | Baltimore              | 156 |  669 |  602 |  83 | 155 |   41 |    1 |   29 |    96 |   57 |     1 |  152 |     6 |    0 |    4 |    12 |    5 |    1 | 0.257 | 0.326 | 0.473 | 0.799 |  623993 |
| Jeimer Candelario            |    29 |     924 | Maj-NL        | Chicago,Washington     | 140 |  576 |  505 |  77 | 127 |   39 |    3 |   22 |    70 |   53 |     1 |  127 |    13 |    0 |    4 |    11 |    8 |    1 | 0.251 | 0.336 | 0.471 | 0.807 |  600869 |
| Trea Turner                  |    30 |     901 | Maj-NL        | Philadelphia           | 168 |  746 |  688 | 111 | 187 |   40 |    5 |   29 |    81 |   50 |     2 |  158 |     6 |    0 |    2 |    12 |   34 |    1 | 0.272 | 0.326 | 0.471 | 0.797 |  607208 |
| Kerry Carpenter              |    25 |     924 | Maj-AL        | Detroit                | 118 |  459 |  418 |  57 | 116 |   17 |    2 |   20 |    64 |   32 |     3 |  115 |     8 |    0 |    1 |     5 |    6 |    0 | 0.278 | 0.34  | 0.471 | 0.811 |  681481 |
| Bo Naylor                    |    23 |     924 | Maj-AL        | Cleveland              |  67 |  230 |  198 |  33 |  47 |   13 |    0 |   11 |    32 |   30 |     1 |   53 |     1 |    0 |    1 |     2 |    5 |    0 | 0.237 | 0.339 | 0.47  | 0.809 |  666310 |
| Francisco Lindor             |    29 |     924 | Maj-NL        | New York               | 160 |  687 |  602 | 108 | 153 |   33 |    2 |   31 |    98 |   66 |     1 |  137 |    12 |    0 |    7 |     8 |   31 |    4 | 0.254 | 0.336 | 0.47  | 0.806 |  596019 |
| Max Muncy                    |    32 |     914 | Maj-NL        | Los Angeles            | 138 |  591 |  493 |  97 | 104 |   17 |    1 |   36 |   105 |   86 |     4 |  157 |     6 |    0 |    6 |     8 |    1 |    2 | 0.211 | 0.332 | 0.469 | 0.8   |  571970 |
